村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Division1,Division2,Division3,Division4,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,马鞭田村志,人口 Population,总人口 Total Population,,,,n/a,n/a,n/a,n/a,800,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1250,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1385,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1425,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1612,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3,马鞭田村志,自然出生率 Birth Rate (‰),,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3,马鞭田村志,自然增长率 Natural Population Growth Rate (‰),,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.8,n/a,n/a,9.8,6.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,万秀村志,户数 Number of Households,,,,,269,n/a,n/a,n/a,278,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,427,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,785,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1025,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1108,n/a,n/a,n/a,n/a,n/a,n/a,1231,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,万秀村志,人口 Population,男性人口 Male Population,,,,640,n/a,n/a,n/a,644,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,812,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1076,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1405,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1684,n/a,n/a,n/a,n/a,n/a,n/a,1802,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,万秀村志,人口 Population,女性人口 Female Population,,,,724,n/a,n/a,n/a,748,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,897,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1280,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1693,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1887,n/a,n/a,n/a,n/a,n/a,n/a,2165,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,万秀村志,人口 Population,总人口 Total Population,,,,1364,1397,n/a,n/a,1392,n/a,n/a,1652,1748,n/a,n/a,n/a,n/a,1752,1778,1709,1805,1844,1851,1931,1993,2046,2136,2169,2227,2262,2293,2291,2310,2330,2354,2295,2407,2356,2576,2619,2590,2732,2820,2948,3014,3121,3174,3215,3230,3284,3379,3436,3493,3547,3526,3571,3672,3716,3777,3819,3852,3886,3967,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,万秀村志,流动人口/暂住人口 Migratory/Temporary Population,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2520,2494,3638,3609,3753,3628,6726,6674,6434,6506,8614,8635,8701,8603,8430,8470,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,万秀村志,出生人数 Number of Births,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,31,39,28,40,141,137,188,187,219,215,209,208,134,163,182,202,204,172,117,95,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,万秀村志,死亡人数 Number of Deaths,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,17,14,23,15,6,3,6,4,7,6,5,3,7,7,6,8,6,5,6,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4,万秀村志,迁入 Migration In,,知识青年 Educated Youth,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,94,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,光淀村志,户数 Number of Households,,,,,n/a,n/a,n/a,n/a,n/a,n/a,372,n/a,426,n/a,n/a,n/a,n/a,n/a,485,435,n/a,443,449,459,467,484,502,507,526,555,572,613,627,640,652,671,703,711,723,767,820,782,792,884,891,906,n/a,n/a,971,967,965,930,927,n/a,1012,1012,1012,1012,1056,1056,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,光淀村志,人口 Population,男性人口 Male Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,979,n/a,1028,1123,1160,1154,1152,1200,1255,1268,1274,1360,1381,1407,1407,1454,1505,1510,1534,1557,1557,1600,1632,1649,1647,n/a,n/a,1666,1664,1664,n/a,n/a,n/a,1150,n/a,1643,1645,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,光淀村志,人口 Population,女性人口 Female Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,939,n/a,1020,1024,1095,1151,1181,1210,1245,1275,1274,1282,1384,1399,1425,1446,1543,1481,1511,1527,1548,1574,1599,1625,1651,n/a,n/a,1661,1649,1653,n/a,n/a,n/a,1126,n/a,1633,1669,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,光淀村志,人口 Population,总人口 Total Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,1802,n/a,1826,n/a,n/a,1874,1547,1775,1809,1673,1729,1919,1983,2048,2147,2255,2305,2333,2410,2500,2543,2548,2712,1765,2806,2835,2900,2958,2991,3045,3084,3125,3174,3231,3274,3298,3319,3354,3327,3313,3317,3281,3329,3342,3344,3319,3276,3314,3349,3360,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,光淀村志,出生人数 Number of Births,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,80,n/a,72,81,89,74,52,59,84,53,72,83,63,57,43,77,84,54,67,57,53,60,69,65,48,n/a,60,43,31,29,40,33,44,35,43,41,34,38,36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5,光淀村志,死亡人数 Number of Deaths,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16,n/a,13,13,11,16,11,15,15,20,20,15,14,14,31,19,22,19,16,21,21,10,27,27,19,n/a,n/a,37,19,19,22,9,22,19,20,15,22,25,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
6,方等村志,户数 Number of Households,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,384,381,395,420,432,432,427,446,463,482,508,508,524,540,551,555,559,532,536,540,541,543,566,581,596,603,602,604,652,652,673,709,712,634,692,718,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
6,方等村志,人口 Population,男性人口 Male Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,856,861,872,890,916,929,962,972,951,997,1036,1040,1051,1060,1091,1091,1092,1096,1091,1092,1089,1090,1098,1114,1119,1150,1151,1100,1154,1151,1164,1183,1213,1229,1259,1263,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
6,方等村志,人口 Population,总人口 Total Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1767,1776,1794,1800,1834,1827,1878,1897,1953,1985,2099,2112,2126,2134,2166,2167,2170,2180,2190,2162,2156,2157,2176,2194,2206,2217,2217,2219,2278,2314,2337,2375,2394,2470,2503,2516,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
6,方等村志,人口 Population,女性人口 Female Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,911,915,922,910,918,898,916,925,1002,988,1063,1072,1075,1074,1075,1076,1078,1084,1099,1070,1067,1067,1078,1080,1087,1067,1066,1119,1174,1163,1173,1192,1181,1241,1244,1253,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,渔津洼村志,户数 Number of Households,,,,,157,160,165,168,170,171,173,175,175,178,180,175,170,180,191,202,209,207,209,216,222,231,221,230,242,253,267,258,273,277,288,298,298,303,306,310,315,320,321,325,330,362,365,368,380,400,400,395,390,385,380,385,387,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,渔津洼村志,人口 Population,女性人口 Female Population,,,,325,338,340,348,350,356,362,366,370,374,370,360,353,375,400,427,436,461,463,467,492,483,508,521,539,554,566,566,571,561,552,548,550,577,569,570,622,623,630,620,648,658,669,674,681,707,718,719,707,699,700,719,720,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,渔津洼村志,人口 Population,总人口 Total Population,,,,660,678,685,698,705,711,720,730,736,744,740,730,713,760,811,854,880,914,923,954,987,1006,1036,1037,1073,1089,1117,1133,1132,1149,1144,1143,1154,1193,1184,1185,1247,1271,1291,1276,1325,1356,1358,1364,1379,1416,1437,1437,1407,1399,1403,1433,1434,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,渔津洼村志,死亡人数 Number of Deaths,,,,,4,5,3,6,6,7,5,6,8,5,6,19,22,13,10,9,6,2,9,2,10,10,9,7,7,6,2,5,4,7,8,8,9,4,5,11,10,8,10,11,3,13,5,6,5,5,8,4,26,16,6,11,13,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,渔津洼村志,人口 Population,男性人口 Male Population,,,,335,340,345,350,355,355,358,364,366,370,370,370,360,385,411,427,444,453,460,487,495,523,528,516,534,535,551,567,561,588,592,595,604,616,615,615,625,648,661,656,677,698,689,690,698,709,719,718,700,700,703,714,714,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,渔津洼村志,出生人数 Number of Births,,,,,8,10,14,11,10,10,9,13,10,8,5,3,5,10,19,17,12,60,21,32,24,20,27,30,33,29,24,19,17,43,26,11,28,39,6,26,37,39,18,18,24,26,25,9,25,38,13,10,10,10,8,23,18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,渔津洼村志,迁入 Migration In,,人数 number of people,,,3,15,14,18,14,12,15,18,11,20,7,22,15,52,45,40,28,16,6,12,26,19,22,9,25,10,13,6,5,15,18,35,19,17,2,4,56,2,23,2,32,54,0,23,2,19,30,1,7,10,10,36,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
7,渔津洼村志,迁出 Migration Out,,人数 number of people,,,20,2,5,10,11,9,10,15,7,15,10,16,15,2,3,5,8,10,9,11,7,10,10,31,15,17,7,4,19,34,41,39,27,13,12,19,21,9,11,24,4,36,18,20,7,15,14,7,21,12,8,18,9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
8,板板桥村志,户数 Number of Households,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,433,433,455,462,487,487,486,497,510,517,524,528,530,531,542,543,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
8,板板桥村志,人口 Population,男性人口 Male Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1263,1264,1265,1275,1269,1277,1128,1145,1157,1161,1234,1245,1179,1249,1199,1261,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
8,板板桥村志,人口 Population,女性人口 Female Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1244,1264,1264,1282,1297,1294,1129,1138,1151,1121,1121,1127,1178,1137,1310,1255,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
8,板板桥村志,人口 Population,总人口 Total Population,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2507,2528,2529,2557,2566,2571,2257,2283,208,2327,2355,2372,2357,2386,2509,2516,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
8,板板桥村志,自然增长率 Natural Population Growth Rate (‰),,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
9,仓上村志,户数 Number of Households,,,,,n/a,n/a,414,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,542,n/a,n/a,n/a,n/a,n/a,730,752,n/a,n/a,n/a,n/a,n/a,752,n/a,n/a,n/a,752,n/a,n/a,n/a,n/a,n/a,820,n/a,n/a,n/a,820,n/a,n/a,n/a,n/a,n/a,n/a,820,n/a,n/a,852,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
