村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Division1,Subdivision - Agri.,Subdivision - Misc.,Subdivision - Service,Division2,Subdivision - Household,Unit,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0004,万秀村志,集体经济收入 Collective Economic Income,总 Total,,,,,,万元 10K yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19.21,n/a,n/a,n/a,n/a,n/a,n/a,16.24,20.44,29.41,31.45,32.15,37.47,39.99,41.43,45.9,51.26,49.81,51.36,51.17,58.99,61.23,72.48,114.44,108.52,96.56,82.61,156.82,167.3,297.18,329.5,440.17,608.22,690.58,737.13,825.59,1189,1411,1703,1949,2312,2689,3019,3297,3630,4126,4409,4596,4820,4962,5057,5315,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0004,万秀村志,耕地面积 Cultivated Area,,,,,,,亩 mu,5327,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1150,972,756,694,476,429,365,319,161,73,51,16,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0004,万秀村志,人均收入 Per Capita Income,,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,71,n/a,n/a,n/a,n/a,n/a,n/a,70.74,83.44,113,110,116.2,131.64,129.9,128.25,139.7,147.62,136.37,137.22,123.28,139.32,146.53,174.98,221.49,223.04,188.53,169.69,321.38,375.86,469.38,614.16,969.96,1108.2,1137.32,1196.21,1433.67,2814,3430,4049,4717,5649,6515,7428,8118,8986,9618,10129,10418,11011,11317,11497,11997,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0004,万秀村志,人均居住面积 Per Capita Living Space,,,,,,,平方米 square meters,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12.12,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,109.57,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0005,光淀村志,人均收入 Per Capita Income,,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,561,n/a,n/a,602,n/a,n/a,815,n/a,n/a,n/a,n/a,1008,n/a,1290,n/a,n/a,1860,n/a,n/a,2200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0005,光淀村志,电价 Electricity Price,,,,,生活 Household,,元每度 yuan per kilowatt-hour,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0007,渔津洼村志,耕地面积 Cultivated Area,,,,,,,亩 mu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3797.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3333,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0007,渔津洼村志,人均居住面积 Per Capita Living Space,,,,,,,平方米 square meters,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0007,渔津洼村志,集体经济收入 Collective Economic Income,总 Total,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,131533,144076,136001,116629,181886,149799,151255,186007,n/a,210000,250646,240473,n/a,338176,350745,406852,397465,290871,430000,651600,647000,1059000,1900200,3928600,3851000,3309000,3944000,4047500,3782000,3860000,5383000,3500000,6310000,6310000,8708000,23661000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0007,渔津洼村志,人均收入 Per Capita Income,,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,146.8,160.44,148.3,122.51,185,149,146,179,n/a,n/a,n/a,n/a,n/a,291,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0008,板板桥村志,耕地面积 Cultivated Area,,,,,,,亩 mu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4403,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0009,仓上村志,总产值 Gross Output Value,总 Total,,,,,,万元 10K yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3365,4365,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0009,仓上村志,耕地面积 Cultivated Area,,,,,,,亩 mu,n/a,n/a,5915.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4600,n/a,n/a,n/a,n/a,n/a,n/a,4901,n/a,n/a,n/a,n/a,4774,3800,n/a,n/a,n/a,n/a,3550,n/a,n/a,n/a,n/a,3187,n/a,n/a,n/a,n/a,3158,n/a,n/a,n/a,n/a,3158,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0009,仓上村志,人均收入 Per Capita Income,,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,375,n/a,n/a,n/a,n/a,475,520,650,701,715,730,750,950,1050,1319,2567,2650,2700,2750,2810,2910,3000,n/a,n/a,n/a,3400,n/a,3920,4420,5430,6250,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0009,仓上村志,人均居住面积 Per Capita Living Space,,,,,,,平方米 square meters,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0010,草场地村志,粮食总产量 Total Grain Output,,,,,,,万公斤 10K kilograms,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0010,草场地村志,总产值 Gross Output Value,总 Total,,,,,,亿元 100 millions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0011,桥梓村志,集体经济收入 Collective Economic Income,总 Total,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,68471,n/a,n/a,n/a,64160,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0011,桥梓村志,集体经济收入 Collective Economic Income,总 Total,,,,,,万元 10K yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3495,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0011,桥梓村志,人均收入 Per Capita Income,,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,45,n/a,n/a,n/a,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0011,桥梓村志,总产值 Gross Output Value,种植业 Agriculture,,,,,,万元 10K yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,372,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0011,桥梓村志,总产值 Gross Output Value,第二产业 Secondary Industry,,,,,,万元 10K yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,650,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0011,桥梓村志,用水量 Water Consumption,,,,,General,,万立方米 10K cubic meters,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0011,桥梓村志,用电量 Electricity Consumption,,,,,General,,万千瓦时/万度 10K kilowatt hours,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0012,东侯坊村志,耕地面积 Cultivated Area,,,,,,,亩 mu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4573,n/a,4512,n/a,4512,n/a,4509,n/a,4509,n/a,4509,n/a,4507,n/a,4509,n/a,4509,n/a,4509,n/a,4488,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,4304,n/a,n/a,4304,n/a,n/a,n/a,n/a
0012,东侯坊村志,粮食总产量 Total Grain Output,,,,,,,万斤 10K jin,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,97.6,66.2,114.9,154.2,160.5,181.9,199.4,227.7,257.4,247.6,273,281.9,303.6,317.1,322.2,275,319.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
0012,东侯坊村志,人均收入 Per Capita Income,,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4300,4450,4520,4560,4750,4950,5420,5940,6440,6820,7100,7340,7950,8320,8740,8930,n/a,n/a,n/a,n/a
0013,黄土岗村志,集体经济收入 Collective Economic Income,总 Total,,,,,,元 yuan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,698636,754385,662947,638810,809410,n/a,760616,704474,890115,923626,1075554,1023122,1043721,1093535,1184825,1192504,1310161,1519224,1643699,2137143,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
0013,黄土岗村志,粮食总产量 Total Grain Output,,,,,,,万斤 10K jin,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
