id,name,pinyin
106,嘉定区,Jiading Qu
107,固安县,Gu'an Xian
108,土默特右旗,Tumoteyou Qi
109,埇桥区,Yongqiao Qu
110,城东区,Chengdong Qu
111,城北区,Chengbei Qu
112,城西区,Chengxi Qu
113,增城市,Zengcheng Shi
114,壶关县,Huguan Xian
115,大兴区,Daxing Qu
116,大宁县,Daning Xian
117,大安区,Daan Qu
118,大理市,Dali Shi
119,大理经济开发区,Dali Jingji Kaifaqu
120,大田县,Datian Xian
121,天桥区,Tianqiao Qu
122,天河区,Tianhe Qu
123,天涯区,Tianya Qu
124,太和区,Taihe Qu
125,夷陵区,Yiling Qu
126,夹江县,Jiajiang Xian
127,奉贤区,Fengxian Qu
128,威远县,Weiyuan Xian
129,婺源县,Wuyuan Xian
130,子洲县,Zizhou Xian
131,孝义市,Xiaoyi Shi
132,孟州市,Mengzhou Shi
133,宁城县,Ningcheng Xian
134,宁安市,Ning'an Shi
135,宁河县,Ninghe Xian
136,宁都县,Ningdu Xian
137,宁阳县,Ningyang Xian
138,安化县,Anhua Xian
139,安吉县,Anji Xian
140,安塞县,Ansai Xian
141,安岳县,Anyue Xian
142,安新县,Anxin Xian
143,安源区,Anyuan Qu
144,安阳县,Anyang Xian
145,安陆市,Anlu Shi
146,安龙县,Anlong Xian
147,宏伟区,Hongwei Qu
148,官渡区,Guandu Qu
149,官渡社区,Guandu Shequ
150,定襄县,Dingxiang Xian
151,宜兴市,Yixing Shi
152,宜良县,Yiliang Xian
153,宜都市,Yidu Shi
154,宝安区,Baoan Qu
155,宝应县,Baoying Xian
156,密云县,Miyun Xian
157,富平县,Fuping Xian
158,富拉尔基区,Fulaerji Qu
159,富源县,Fuyuan Xian
160,富阳市,Fuyang Shi
161,寿光市,Shouguang Shi
162,射洪县,Shehong Xian
163,尖草坪区,Jiancaoping Qu
164,尤溪县,Youxi Xian
165,尧都区,Yaodu Qu
166,屯溪区,Tunxi Qu
167,崂山区,Laoshan Qu
168,崇州市,Chongzhou Shi
169,崇明区,Chongming Qu
170,嵊州市,Shengzhou Shi
171,嵩明县,Songming Xian
172,巍山彝族回族自治县,Weishan Yizu Huizu Zizhixian
173,左权县,Zuoquan Xian
174,巩义市,Gongyi Shi
175,巫溪县,Wuxi Xian
176,巴南区,Banan Qu
177,巴州区,Bazhou Qu
178,常熟市,Changshu Shi
179,平定县,Pingding Xian
180,平度市,Pingdu Shi
181,平昌县,Pingchang Xian
182,平潭县,Pingtan Xian
183,平遥县,Pingyao Xian
184,广安区,Guang'an Qu
185,广饶县,Guangrao Xian
186,府谷县,Fugu Xian
187,延平区,Yanping Qu
188,建平县,Jianping Xian
189,建德市,Jiande Shi
190,建湖县,Jianhu Xian
191,建瓯市,Jian'ou Shi
192,开阳县,Kaiyang Xian
193,张家港市,Zhangjiagang Shi
194,弥勒县,Mile Xian
195,彭阳县,Pengyang Xian
196,循化撒拉族自治县,Xunhua Salazu Zizhixian
197,德化县,Dehua Xian
198,德城区,Decheng Qu
199,怀柔区,Huairou Qu
200,怀柔县,Huairou Xian
201,恩施市,Enshi Shi
202,恩阳区,Enyang Qu
203,息烽县,Xifeng Xian
204,惠山区,Huishan Qu
205,慈利县,Cili Xian
206,慈溪市,Cixi Shi
207,成华区,Chenghua Qu
208,成武县,Chengwu Xian
209,户县,Hu Xian
210,房山区,Fangshan Qu
211,扶绥县,Fusui Xian
212,抚松县,Fusong Xian
213,抚顺县,Fushun Xian
214,招远市,Zhaoyuan Shi
215,揭东县,Jiedong Xian
216,文安县,Wenan Xian
217,文水县,Wenshui Xian
218,新华区,Xinhua Qu
219,新城区,Xincheng Qu
220,新安县,Xin'an Xian
221,新昌县,Xinchang Xian
222,新沂市,Xinyi Shi
223,新田县,Xintian Xian
224,新界北区,Xinjie Beiqu
225,新罗区,Xinluo Shi
226,新邵县,Xinshao Xian
227,新都区,Xindu Qu
228,施甸县,Shidian Xian
229,无极县,Wuji Xian
230,昆山市,Kunshan Shi
231,昌宁县,Changning Xian
232,昌平区,Changping Qu
233,昔阳县,Xiyang Xian
234,晋安区,Jin'an Qu
235,晋江市,Jinjiang Shi
236,晋源区,Jinyuan Qu
237,普宁市,Puning Shi
238,普安县,Puan Xian
239,景县,Jing Xian
240,曲阜市,Qufu Shi
241,望奎县,Wangkui Xian
242,朝阳区,Chaoyang Qu
243,未央区,Weiyang Qu
244,李沧区,Licang Qu
245,杨陵区,Yangling Qu
246,松滋市,Songzi Shi
247,松阳县,Songyang Xian
248,林州市,Linzhou Shi
249,枝江市,Zhijiang Shi
250,柯桥区,Keqiao Qu
251,柳城县,Liucheng Xian
252,栖霞市,Qixia Shi
253,栾城区,Luancheng Qu
254,桂平市,Guiping Shi
255,桃源县,Taoyuan Xian
256,桓仁满族自治县,Huanren Manzu Zizhixian
257,桥东区,Qiaodong Qu
258,桥西区,Qiaoxi Qu
259,梁河县,Lianghe Xian
260,梅县区,Meixian Qu
261,楚雄市,Chuxiong Shi
262,榆中县,Yuzhong Xian
263,榆阳区,Yuyang Qu
264,槐荫区,Huaiyin Qu
265,横山县,Hengshan Xian
266,歙县,She Xian
267,正定县,Zhengding Xian
268,武乡县,Wuxiang Xian
269,武安市,Wu'an Shi
270,武清区,Wuqing Qu
271,武进区,Wujin Qu
272,武陵区,Wuling Qu
273,民乐县,Minle Xian
274,永宁县,Yongning Xian
275,永定区,Yongding Qu
276,永定县,Yongding Xian
277,永川区,Yongchuan Qu
278,永年县,Yongnian Xian
279,永康市,Yongkang Shi
280,永春县,Yongchun Xian
281,永济市,Yongji Shi
282,永登县,Yongdeng Xian
283,永顺县,Yongshun Xian
284,汝州市,Ruzhou Shi
285,江北区,Jiangbei Qu
286,江山市,Jiangshan Shi
287,江川县,Jiangchuan Xian
288,江干区,Jianggan Qu
289,江阴市,Jiangyin Shi
290,汤阴县,Tangyin Xian
291,汾阳市,Fenyang Shi
292,沁水县,Qinshui Xian
293,沁源县,Qinyuan Xian
294,沁阳市,Qinyang Shi
295,沙县,Sha Xian
296,沙坪坝区,Shapingba Qu
297,沙河市,Shahe Shi
298,沙洋县,Shayang Xian
299,河口区,Hekou Qu
300,河津市,Hejin Shi
301,泉港区,Quangang Qu
302,泊头市,Botou Shi
303,泸县,Lu Xian
304,泽州县,Zezhou Xian
305,津南区,Jinnan Qu
306,浦东新区,Pudong Xinqu
307,浦江县,Pujiang Xian
308,海州区,Haizhou Qu
309,海淀区,Haidian Qu
310,海港区,Haigang Qu
311,海阳市,Haiyang Shi
312,涉县,She Xian
313,涟源市,Lianyuan Shi
314,涵江区,Hanjiang Qu
315,淄川区,Zichuan Qu
316,淮阳县,Huaiyang Xian
317,清徐县,Qingxu Xian
318,清涧县,Qingjian Xian
319,温县,Wen Xian
320,温江区,Wenjiang Qu
321,渭滨区,Weibin Qu
322,湖口县,Hukou Xian
323,湘东区,Xiangdong Qu
324,湘乡市,Xiangxiang Shi
325,湘潭县,Xiangtan Xian
326,滑县,Hua Xian
327,滕州市,Tengzhou Shi
328,滨湖区,Binhu Qu
329,潍城区,Weicheng Qu
330,澄城县,Chengcheng Xian
331,澄迈县,Chengmai Xian
332,濮阳县,Puyang Xian
333,灌云县,Guanyun Xian
334,灵宝县,Lingbao Xian
335,灵宝市,Lingbao Shi
336,灵寿县,Lingshou Xian
337,灵石县,Lingshi Xian
338,爱辉区,Aihui Qu
339,猇亭区,Xiaoting Qu
340,玉州区,Yuzhou Qu
341,环江毛南族自治县,Huanjiang Maonanzu Zizhixian
342,珲春市,Huichun Shi
343,瑞金市,Ruijin Shi
344,瓯海区,Ouhai Qu
345,甘州区,Ganzhou Qu
346,登封市,Dengfeng Shi
347,白云区,Baiyun Qu
348,盂县,Yu Xian
349,盐湖区,Yanhu Qu
350,盐都区,Yandu Qu
351,盖州市,Gaizhou Shi
352,相山区,Xiangshan Qu
353,石景山区,Shijingshan Qu
354,石林彝族自治县,Shilin Yizu Zizhixian
355,石泉县,Shiquan Xian
356,碑林区,Beilin Qu
357,祁县,Qi Xian
358,祁阳县,Qiyang Xian
359,神木县,Shenmu Xian
360,祥云县,Xiangyun Xian
361,禅城区,Chancheng Qu
362,福山区,Fushan Qu
363,福清市,Fuqing Shi
364,福田区,Futian Qu
365,秀英区,Xiuying Qu
366,秦安县,Qin'an Xian
367,竞秀区,Jingxiu Qu
368,简阳市,Jianyang Shi
369,管城回族区,Guancheng Huizu Qu
370,红山区,Hongshan Qu
371,红花岗区,Honghuagang Qu
372,纳溪区,Naxi Qu
373,绍兴县,Shaoxing Xian
374,绥德县,Suide Xian
375,绩溪县,Jixi Xian
376,翼城县,Yicheng Xian
377,肥城市,Feicheng Shi
378,腾冲市,Tengchong Shi
379,自流井区,Ziliujing Qu
380,芜湖县,Wuhu Xian
381,花都区,Huadu Qu
382,苍山县,Cangshan Xian
383,茅箭区,Maojian Qu
384,茶陵县,Chaling Xian
385,荆州区,Jingzhou Qu
386,荔城区,Licheng Qu
387,荥阳市,Xingyang Shi
388,莒南县,Ju'nan Xian
389,莫力达瓦达斡尔族自治旗,Moli Dawa Dawoerzu Zizhiqi
390,莱山区,Laishan Qu
391,莱西市,Laixi Shi
392,莲池区,Lianchi Qu
393,营山县,Yingshan Xian
394,萧山区,Xiaoshan Qu
395,蒲江县,Pujiang Xian
396,蓝山县,Lanshan Xian
397,蓝田县,Lantian Xian
398,蓬安县,Peng'an Xian
399,蓬溪县,Pengxi Xian
400,蔡甸区,Caidian Qu
401,蕉城区,Jiaocheng Qu
402,衡阳县,Hengyang Xian
403,襄汾县,Xiangfen Xian
404,西乡塘区,Xixiangtang Qu
405,西山区,Xishan Qu
406,西峡县,Xixia Xian
407,西峰区,Xifeng Qu
408,西秀区,Xixiu Qu
409,西青区,Xiqing Qu
410,象山县,Xiangshan Xian
411,贾汪区,Jiawang Qu
412,赞皇县,Zanhuang Xian
413,赵县,Zhao Xian
414,越城区,Yuecheng Qu
415,辉县市,Huixian Shi
416,辛集市,Xinji Shi
417,达拉特旗,Dalate Qi
418,连江县,Lianjiang Xian
419,通山县,Tongshan Xian
420,通州区,Tongzhou Qu
421,通海县,Tonghai Xian
422,通渭县,Tongwei Xian
423,遂昌县,Suichang Xian
424,道县,Dao Xian
425,邕宁区,Yongning Qu
426,邗江区,Hanjiang Qu
427,邛崃市,Qionglai Shi
428,邯郸县,Handan Xian
429,邳州市,Pizhou Shi
430,邵东县,Shaodong Xian
431,邹平县,Zouping Xian
432,郊区,Jiao Qu
433,郑东新区,Zhengdong Xinqu
434,郧县,Yun Xian
435,都安瑶族自治县,Du'an Yaozu Zizhixian
436,都江堰市,Dujiangyan Shi
437,鄂城区,Echeng Qu
438,鄞州区,Yinzhou Qu
439,鄯善县,Shanshan Xian
440,金台区,Jintai Qu
441,金寨县,Jinzhai Xian
442,金山区,Jinshan Qu
443,金平苗族瑶族傣族自治县,Jinping Miaozu Yaozu Daizu Zizhixian
444,金水区,Jinshui Qu
445,铁东区,Tiedong Qu
446,锦屏县,Jinping Xian
447,镇远县,Zhenyuan Xian
448,长兴县,Changxing Xian
449,长沙县,Changsha Xian
450,长治县,Changzhi Xian
451,长葛市,Changge Shi
452,门头沟区,Mentougou Qu
453,闵行区,Minhang Qu
454,闻喜县,Wenxi Xian
455,闽侯县,Minhou Xian
456,阜新蒙古族自治县,Fuxin Mengguzu Zizhixian
457,阳城县,Yangcheng Xian
458,阳高县,Yanggao Xian
459,陕县,Shan Xian
460,隆回县,Longhui Xian
461,隆德县,Longde Xian
462,隆林各族自治县,Longlin Gezu Zizhixian
463,隆阳区,Longyang Qu
464,隰县,Xi Xian
465,雁塔区,Yanta Qu
466,雨花区,Yuhua Qu
467,霍山县,Huoshan Xian
468,霍邱县,Huoqiu Xian
469,霞浦县,Xiapu Xian
470,霸州市,Bazhou Shi
471,青县,Qing Xian
472,青浦区,Qingpu Qu
473,青神县,Qingshen Xian
474,青秀区,Qingxiu Qu
475,静海县,Jinghai Xian
476,韩城市,Hancheng Shi
477,顺义区,Shunyi Qu
478,顺德区,Shunde Qu
479,顺昌县,Shunchang Xian
480,马尾区,Mawei Qu
481,高台县,Gaotai Xian
482,高密市,Gaomi Shi
483,高州市,Gaozhou Shi
484,高平市,Gaoping Shi
485,高新区,Gaoxin Qu
486,高邑县,Gaoyi Xian
487,高青县,Gaoqing Xian
488,魏县,Wei Xian
489,鹿泉市,Luquan Shi
490,麦积区,Maiji Qu
491,麻章区,Mazhang Qu
492,麻阳苗族自治县,Mayang Miaozu Zizhixian
493,黄埔区,Huangpu Qu
494,黄平县,Huangping Xian
495,黄浦区,Huangpu Qu
496,黄陂区,Huangpi Qu
497,黄骅市,Huanghua Shi
498,黎城县,Licheng Xian
499,黎平县,Liping Xian
500,鼎城区,Dingcheng Qu
501,鼓楼区,Gulou Qu
502,齐河县,Qihe Xian
503,龙口市,Longkou Shi
504,龙山县,Longshan Xian
505,龙川县,Longchuan Xian
506,龙泉市,Longquan Shi
507,龙泉驿区,Longquanyi Qu
508,龙湾区,Longwan Qu
