villageInnerId_村庄内部代码,gazetteerId_村志代码,villageId_村庄代码,nameChineseCharacters_村名汉字,nameHanyuPinyin_村名汉语拼音
293,293,610624102204,碟子沟村,Diezigou Cun
294,294,NULL,北沙坡村,Beishapo Cun
295,295,370283004224,何家楼村,Hejialou Cun
296,296,371626101306,大省村,Dasheng Cun
297,297,130582201207,册井村,Cejing Cun
298,298,610821111244,葛富村,Gefu Cun
299,299,210921120210,衙门村,Yamen Cun
300,300,130434202215,斗门村,Doumen Cun
301,301,330726106206,长山村,Changshan Cun
302,302,NULL,南关村,Nanguan Cun
303,303,211103018201,陈屯村,Chentun Cun
304,304,350105101210,东岐村,Dongqi Cun
305,305,320382109003,港西村,Gangxi Cun
306,306,430224207204,大英村,Daying Cun
307,307,330225105225,方家岙村,Fangjiaao Cun
309,309,320584107218,开弦弓村,Kaixiangong Cun
310,310,371327101215,李家桑园村,Lijiasangyuan Cun
312,312,350425100201,红星村,Hongxing Cun
313,313,371402200215,刘集村,Liuji Cun
314,314,NULL,凌塘村,Lingtong Cun
315,315,410105015204,花沟王村,Huagouwang Cun
316,316,370105013004,黄岗村,Huanggang Cun
317,317,230881205200,八岔赫哲族村,Bacha Hezhezu Cun
318,318,371524105214,柳林屯村,Liulintun Cun
319,319,NULL,花园关村,Huayuanguan Cun
320,320,430421106211,金沙村,Jinsha Cun
321,321,430522108211,巨口铺村,Jukoupu Cun
322,322,350426103201,后楼村,Houlou Cun
323,323,320305103205,荒里村,Huangli Cun
324,324,411626200218,大张营村,Dazhangying Cun
325,325,411282104204,河西村,Hexi Cun
326,326,330621110242,江桃村,Jiangtao Cun
327,327,210682116204,四台子村,Sitaizi Cun
329,329,210212400201,后三羊头村,Housanyangtou Cun
330,330,211382008201,庙东村,Miaodong Cun
331,331,440112003009,茅岗村,Maogang Cun
332,332,NULL,近江村,Jinjiang Cun
333,333,610112007230,柳树林村,Liushulin Cun
334,334,320506103200,灵岩村,Lingyan Cun
335,335,610525101211,吉安城村,Ji'ancheng Cun
336,336,140429200213,常青村,Changqing Cun
337,337,320582401206,李巷村,Lixiang Cun
338,338,NULL,麻扎村,Mazha Cun
339,339,610125101211,旧泉坊村,Jiuquanfang Cun
340,340,320925103207,建河村,Jianhe Cun
341,341,141181105210,旧尉屯村,Jiuweitun Cun
342,342,210212013200,李家沟村,Lijiagou Cun
343,343,140728206201,梁官村,Liangguan Cun
344,344,320581100013,环湖村,Huanhu Cun
345,345,140421203209,辉河村,Huihe Cun
346,346,410902203212,胡干城村,Hugancheng Cun
347,347,110105037205,北甸西村,Beidianxi Cun
348,348,330109102202,尖山下村,Jianshanxia Cun
349,349,210881112206,后蚂虹嘴村,houmahongzui Cun
350,350,321281117201,蒋家村,Jiangjia Cun
351,351,NULL,雷家崄村,Leijiaxian Cun
352,352,430611101209,合兴村,Hexing Cun
353,353,141122100001,西街村,Xijie Cun
354,354,330881104235,花园岗村,Huayuangang Cun
355,355,130582202205,孟石岗村,Mengshigang Cun
356,356,411282107209,西水头村,Xishuitou Cun
357,357,140311102201,义东沟村,Yidonggou Cun
358,358,130522200204,丰盈村,Fengying Cun
359,359,440106022001,新塘村,Xintang Cun
360,360,440606104208,沙富村,Shafu Cun
361,361,441900117205,黄洞村,Huangdong Cun
362,362,440106015001,元岗村,Yuangang Cun
363,363,NULL,黄村,Huang Cun
364,364,441900117201,官井头村,Guanjingtou Cun
365,365,440106021003,珠村,Zhu Cun
366,366,410704200204,分将池村,Fenjiangchi Cun
367,367,440306004009,白石厦村,Baishixia Cun
368,368,441900117202,油甘埔村,Youganpu Cun
369,369,410704201203,尚介村,Shangjie Cun
370,370,410323106214,关址村,Guanzhi Cun
371,371,NULL,南程村,Nancheng Cun
372,372,410821206211,北洼村,Beiwa Cun
373,373,320581103219,李袁村,Liyuan Cun
374,374,320281003206,李沟头村,Ligoutou Cun
375,375,320412100204,三勤村,Sanqin Cun
376,376,131022103219,林城村,Lincheng Cun
377,377,130185500202,横山村,Hengshan Cun
378,378,421003103208,马店村,Madian Cun
379,379,320211009203,群丰村,Qunfeng Cun
380,380,141181002209,桥北村,Qiaobei Cun
381,381,NULL,马家疃村,Majiatuan Cun
382,382,450881120204,盘石村,Panshi Cun
383,383,370105014012,清河村,Qinghe Cun
384,384,610581001205,坡底村,Podi Cun
385,385,610125100206,七一村,Qiyi Cun
386,386,NULL,乔家辿村,Qiaojiazhan Cun
387,387,440305002007,南山村,Nanshan Cun
388,388,210212012200,龙头村,Longtou Cun
389,389,141002101200,乔李村,Qiaoli Cun
390,390,621002003201,秦霸岭村,Qinbaling Cun
391,391,320412102212,卢家巷村,Lujiaxiang Cun
392,392,610124208211,沙河岸村,Shahean Cun
393,393,110105038212,北皋村,Beigao Cun
394,394,440111014015,庆丰村,Qingfeng Cun
395,395,350128100002,右营村,Youying Cun
396,396,431127102201,毛俊村,Maojun Cun
397,397,370104100231,七里铺村,Qilipu Cun
398,398,141029200222,南崖村,Nanya Cun
399,399,NULL,南湾村,Nanwan Cun
400,400,430802108211,马头溪村,Matouxi Cun
401,401,130423101201,南东坊村,Nandongfang Cun
402,402,320581100249,小山村,Xiaoshan Cun
404,404,431226106204,漫水村,Manshui Cun
405,405,140525108204,南山村,Nanshan Cun
406,406,320381101203,李庄村,Lizhuang Cun
407,407,NULL,聂寨村,Niezhai Cun
408,408,140882002211,龙门村,Longmen Cun
409,409,NULL,桥塘村,Qiaotang Cun
411,411,450103101206,施厚村,Shihou Cun
412,412,370783104228,牛头镇村,Niutouzhen Cun
413,413,620722103218,三寨村,Sanzhai Cun
414,414,620123100202,南坡湾村,Nanpowan Cun
415,415,130133101201,南庄村,Nanzhuang Cun
416,416,NULL,潘山村,Panshan Cun
417,417,440183001208,罗岗村,Luogang Cun
418,418,NULL,平羌村,Pingqiang Cun
419,419,410104008008,南五里堡村,Nanwulipu Cun
420,420,330503102220,荃步村,Quanbu Cun
421,421,350181103210,牛宅村,Niuzhai Cun
422,422,110106202207,看丹村,Kandan Cun
423,423,110105038204,奶东村,Naidong Cun
424,424,610403203204,新集村,Xinji Cun
425,425,320412100237,夏雷村,Xialei Cun
427,427,350425100205,宋京村,Songjing Cun
428,428,620702103226,兴隆村,Xinglong Cun
429,429,450107004201,苏卢村,Sulu Cun
430,430,130981202239,石桥鲁道村,Shiqiaoludao Cun
431,431,210212005203,水师营村,Shuishiying Cun
432,432,431382202203,申家村,Shenjia Cun
433,433,NULL,吴家村,Wujia Cun
434,434,141181201200,下栅村,Xiazha Cun
435,435,210212010207,土城子村,Tuchengzi Cun
436,436,440306004007,兴围村,Xingwei Cun
437,437,620722102209,五坝村,Wuba Cun
438,438,330282004021,湾底村,Wandi Cun
439,439,140522101229,史山村,Shishan Cun
440,440,NULL,新房村,Xinfang Cun
441,441,320303006203,土山寺村,Tushansi Cun
442,442,210212005205,西沟村,Xigou Cun
443,443,210711070205,孙家湾村,Sunjiawan Cun
444,444,320583100036,同心村,Tongxin Cun
445,445,330225102252,文岙村,Wenao Cun
446,446,140821107209,王寮村,Wangliao Cun
447,447,620702103204,水磨湾村,Shuimowan Cun
448,448,330621004220,铜井村,Tongjing Cun
449,449,370302112001,渭二村,Weier Cun
450,450,140110003206,古城营村,Guchengying Cun
451,451,440306005020,万丰村,Wanfeng Cun
452,452,350582106208,围头村,Weitou Cun
453,453,370523104243,王道村,Wangdao Cun
454,454,370285001201,水集二村,Shuijier Cun
455,455,370302003001,西关一村,Xiguanyi Cun
456,456,NULL,唐林村,Tanglin Cun
457,457,130207107247,太各庄村,Taigezhuang Cun
458,458,520122201209,鹿窝村,Luwo Cun
459,459,370983001220,孙家小庄村,Sunjiaxiaozhuang Cun
460,460,411222100200,大营村,Daying Cun
461,461,440114001209,马溪村,Maxi Cun
462,462,NULL,棠下村,Tangxia Cun
463,463,431002100201,小溪村,Xiaoxi Cun
464,464,330304110215,沈岙村,Shen'ao Cun
465,465,330783108278,象塘村,Xiangtang Cun
466,466,NULL,石鼓村,Shigu Cun
467,467,410883002214,中曹村,Zhongcao Cun
468,468,140427104200,树掌村,Shuzhang Cun
470,470,450107001201,友爱村,Youai Cun
471,471,141182103213,义安村,Yian Cun
472,472,321011003201,堡城村,Baocheng Cun
473,473,130103008030,义堂村,Yitang Cun
474,474,622921215206,徐马村,Xuma Cun
475,475,370112003002,祝甸村,Zhudian Cun
476,476,350111100222,园中村,Yuanzhong Cun
477,477,371524001405,鱼山村,Yushan Cun
478,478,430521205249,羊家冲村,Yangjiachong Cun
479,479,210302013202,营城子村,Yingchengzi Cun
480,480,320506005200,新路村,Xinlu Cun
481,481,331124102200,玉岩村,Yuyan Cun
482,482,330183002227,新建村,Xinjian Cun
483,483,433123112206,雄龙村,Xionglong Cun
484,484,610821109230,薛家会村,Xuejiahui Cun
485,485,NULL,浔龙村,Xunlong Cun
486,486,211103018204,西跃村,Xiyue Cun
487,487,410704200206,堡上村,Baoshang Cun
488,488,141023102208,西中黄村,Xizhonghuang Cun
489,489,410105102207,杲村,Gao Cun
490,490,350582103220,洋埭村,Yangdai Cun
491,491,330624107200,小将村,Xiaojiang Cun
492,492,210421205226,油坊村,Youfang Cun
493,493,620723105203,友好村,Youhao Cun
494,494,NULL,枣牌刘村,Zaopailiu Cun
495,495,140821202213,西齐永村,Xiqiyong Cun
496,496,NULL,龙塘村,Longtang Cun
497,497,410181101202,新中村,Xinzhong Cun
498,498,140429202221,枣烟村,Zaoyan Cun
499,499,330212110258,走马塘村,Zoumatang Cun
500,500,610581100208,西原村,Xiyuan Cun
501,501,350121102217,元峰村,Yuanfeng Cun
502,502,130582102224,窑坡村,Yaopo Cun
503,503,130107101009,张家井村,Zhangjiajing Cun
504,504,130129201401,南关村,Nanguan Cun
505,505,421224100202,新塘下村,Xintangxia Cun
506,506,441900117207,竹尾田村,Zhuweitian Cun
507,507,330281002209,永丰村,Yongfeng Cun
508,508,140881104210,寨子村,Zhaizi Cun
509,509,610922100208,新堰村,Xinyan Cun
510,510,410104202203,南岗村,Nangang Cun
511,511,370613004218,西解甲庄村,Xixiejiazhuang Cun
512,512,410825101207,薛肇村,Xuezhao Cun
513,513,420704001203,洋澜村,Yanglan Cun
514,514,411281006001,千秋村,Qianqiu Cun
515,515,140823100230,仪张村,Yizhang Cun
516,516,330781104200,诸葛村,Zhuge Cun
517,517,410105101208,杨槐村志,Yanghuai Cun
518,518,440106019001,渔沙坦村,Yushatan Cun
519,519,520123102209,清水村,Qingshui Cun
520,520,210212012205,盐厂新村,Yanchang Xincun
521,521,350322102217,后溪村,Houxi Cun
522,522,410105101217,唐庄村,Tangzhuang Cun
523,523,231102206201,新生村,Xinsheng Cun
524,524,500113117216,荷花村,Hehua Cun
525,525,230206200205,库勒村,Kule Cun
526,526,500118003206,黄瓜山村,Huangguashan Cun
527,527,360313103201,关里村,Guanli Cun
528,528,360730203207,东龙村,Donglong Cun
529,529,NULL,黄家门村,Huangjiamen Cun
530,530,451031203210,上棒村,Shangbang Cun
531,531,NULL,草陂村,Caobei Cun
532,532,500238239204,兰英村,Lanying Cun
533,533,340721202200,老观村,Laoguan Cun
534,534,340603100214,黄里村,Huangli Cun
535,535,522323104204,保冲村,Baochong Cun
536,536,120112103209,海河湾村,Haihewan Cun
537,537,422801101203,鸦鹊水村,Yaqueshui Cun
538,538,522628104207,魁胆村,Kuidan Cun
539,539,420704001204,莲花村,Lianhua Cun
540,540,430111006201,红星村,Hongxing Cun
541,541,510114102202,建设村,Jianshe Cun
542,542,511922222213,庙坪村,Miaoping Cun
543,543,431025205201,小湾村,Xiaowan Cun
544,544,420982102211,新堤村,Xindi Cun
545,545,120111104207,刘庄村,Liuzhuang Cun
546,546,120111002211,王兰庄村,Wanglanzhuang Cun
547,547,510922209211,临江村,Linjiang Cun
548,548,420821100008,城畈村,Chengfan Cun
549,549,511323104208,柳树垭村,Liushuya Cun
550,550,522625102203,大塘村,Datang Cun
551,551,430321200226,双湖村,Shuanghu Cun
552,552,510183105203,二龙村,Erlong Cun
553,553,512022110203,旧居村,Jiuju Cun
554,554,341302104205,左洼村,Zuowa Cun
555,555,430381106210,中石村,Zhongshi Cun
556,556,341021104200,郑村,Zheng Cun
557,557,NULL,沥坑刘村,Likeng Liu Cun
558,558,430321200224,稠泉村,Chouquan Cun
559,559,430725102207,朱家港村,Zhujiagang Cun
560,560,522622101213,川心堡村,Chuanxinpu Cun
561,561,150102008202,代州营村,Daizhouying Cun
562,562,340221101201,北陶村,Beitao Cun
563,563,520302107206,中桥村,Zhongqiao Cun
564,564,370683107239,菜园头村,Caiyuantou Cun
565,565,120111450498,凌庄子村,Lingzhuangzi Cun
566,566,620723202204,马郡村,Majun Cun
567,567,NULL,虎牙滩村,Huyatan Cun
568,568,NULL,土艳村,Tuyan Cun
569,569,341021204201,方村,Fang Cun
570,570,510921104210,拱市村,Gongshi Cun
571,571,520302102205,护城村,Hucheng Cun
572,572,NULL,冯村,Feng Cun
573,573,NULL,塘井村,Tangjing Cun
574,574,341021102205,白杨村,Baiyang Cun
575,575,620522100211,邢泉村,Xingquan Cun
576,576,620503103224,张石村,Zhangshi Cun
577,577,421022113211,青羊岗村,Qingyanggang Cun
578,578,420704101206,三山村,Sanshan Cun
579,579,360429204201,殷山村,Yinshan Cun
580,580,120114113206,西南庄村,Xinanzhuang Cun
581,581,511324102211,瓦子坪村,Waziping Cun
582,582,530921204206,岔河村,Chahe Cun
583,583,431128100225,三里亭村,Sanliting Cun
584,584,511321235211,唐家坪村,Tangjiaping Cun
585,585,511024115219,船石村,Chuanshi Cun
586,586,NULL,膏田村,Gaotian Cun
587,587,510521110237,新屋咀村,Xinwuju Cun
588,588,510521118222,石牌坊村,Shipaifang Cun
589,589,511322111214,锁口村,Suokou Cun
590,590,430121110204,惠农村,Huinong Cun
591,591,530111009201,大板桥村,Dabanqiao Cun
592,592,530112403007,大坝村,Daba Cun
593,593,532923106204,大波那村,Dabona Cun
594,594,532931103201,天马村,Tianma Cun
595,595,530111002007,吴井村,Wujing Cun
596,596,530112006006,新河村,Xinhe Cun
597,597,511425110222,万沟村,Wangou Cun
598,598,511124205207,四合村,Sihe Cun
599,599,512081114203,石河村,Shihe Cun
600,600,510183102204,乌木村,Wumu Cun
601,601,522631208200,肇兴村,Zhaoxing Cun
